Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XL,Manual transmission,2011,224,202,145,27,22,Gasoline
7 Speed Automatic,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,210,400,FALSE,7,All-wheel drive,Ford,2010 Mercedes-Benz R-Class,2010 Mercedes-Benz R350 BlueTEC 4Matic,Automatic transmission,2011,166,36,125,24,18,Diesel fuel
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XL SuperCab,Manual transmission,2011,226,51,148,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab AT,Automatic transmission,2011,226,51,148,24,19,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab V6,Manual transmission,2011,226,51,148,21,16,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab V6 AT,Automatic transmission,2011,226,51,148,20,15,Gasoline
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab 4-Door,Manual transmission,2011,226,51,148,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab 4-Door AT,Automatic transmission,2011,226,51,148,24,19,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab 4-Door 4X4,Manual transmission,2011,19,51,183,19,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger XLT SuperCab 4-Door 4X4 AT,Automatic transmission,2011,19,51,183,18,14,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport,Manual transmission,2011,226,51,148,21,16,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport AT,Automatic transmission,2011,226,51,148,20,15,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport 4-Door,Manual transmission,2011,226,51,148,21,16,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport 4-Door AT,Automatic transmission,2011,226,51,148,20,15,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport 4-Door 4X4,Manual transmission,2011,19,51,183,19,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2011 Ford Ranger,2011 Ford Ranger Sport 4-Door AT 4X4,Automatic transmission,2011,19,51,183,18,14,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck 4.8L,Automatic transmission,2011,237,102,77,19,14,Gasoline
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck 5.3L,Automatic transmission,2011,237,102,77,21,15,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 LT,Automatic transmission,2011,237,102,77,14,10,E85
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 LT 5.3L,Automatic transmission,2011,237,102,77,16,11,E85
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck 4WD,Automatic transmission,2011,237,102,82,18,14,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck 4.8L 4WD,Automatic transmission,2011,237,102,82,13,10,E85
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck 5.3L 4WD,Automatic transmission,2011,237,102,82,21,15,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 LT 4WD,Automatic transmission,2011,237,102,82,18,13,Gasoline
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 LT 5.3L 4WD,Automatic transmission,2011,237,102,82,16,11,E85
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck,Automatic transmission,2011,237,70,74,20,15,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck 4.8L,Automatic transmission,2011,237,70,74,14,10,E85
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck 5.3L,Automatic transmission,2011,237,70,74,16,11,E85
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box LT,Automatic transmission,2011,237,70,74,19,14,Gasoline
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box LT 5.3L,Automatic transmission,2011,237,70,74,21,15,Gasoline
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck 4WD,Automatic transmission,2011,237,70,82,18,14,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck 4.8L 4WD,Automatic transmission,2011,237,70,82,18,13,Gasoline
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box Work Truck 5.3L 4WD,Automatic transmission,2011,237,70,82,16,11,E85
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box LT 4WD,Automatic transmission,2011,237,70,82,13,10,E85
6 Speed Automatic,Chevrolet 5.3L 8 Cylinder 315 hp 338 ft-lbs FFV,315,338,FALSE,6,Four-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Long Box LT 5.3L 4WD,Automatic transmission,2011,237,70,82,16,11,E85
8 Speed Automatic Select Shift,Lexus 5L 8 Cylinder 416hp 371 ft-lbs,416,371,FALSE,8,Rear-wheel drive,Lexus,2010 Lexus IS F,2010 Lexus IS F Sedan,Automatic transmission,2010,24,53,135,23,16,Gasoline
8 Speed Automatic Select Shift,Lexus 5L 8 Cylinder 416hp 371 ft-lbs,416,371,FALSE,8,Rear-wheel drive,Lexus,2011 lexus IS F,2011 Lexus IS F Sedan,Automatic transmission,2011,24,53,135,23,16,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE V6 AT,Automatic transmission,2010,57,99,234,20,15,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab PRO-4X,Automatic transmission,2010,57,99,234,20,15,Gasoline
5 Speed Automatic,Nissan 2.5L 4 Cylinder 152 hp 171 ft-lbs,152,171,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab XE AT,Automatic transmission,2010,57,99,208,22,17,Gasoline
6 Speed Manual,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,6,Four-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE V6 4x4,Manual transmission,2010,57,99,234,19,15,Gasoline
5 Speed Manual,Nissan 2.5L 4 Cylinder 152 hp 171 ft-lbs,152,171,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE,Manual transmission,2010,57,99,234,23,19,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Four-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE V6 4x4 AT,Automatic transmission,2010,57,99,234,19,14,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab LE,Automatic transmission,2010,57,99,234,20,15,Gasoline
6 Speed Manual,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE V6,Manual transmission,2010,57,99,234,20,16,Gasoline
5 Speed Manual,Nissan 2.5L 4 Cylinder 152 hp 171 ft-lbs,152,171,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab XE,Manual transmission,2010,57,99,208,23,19,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Four-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab LE 4x4,Automatic transmission,2010,57,99,234,19,14,Gasoline
5 Speed Automatic,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,5,Four-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab PRO-4X 4x4,Automatic transmission,2010,57,99,234,19,14,Gasoline
6 Speed Manual,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,261,281,FALSE,6,Four-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab PRO-4X 4x4 MT,Manual transmission,2010,57,99,234,19,15,Gasoline
5 Speed Automatic,Nissan 2.5L 4 Cylinder 152 hp 171 ft-lbs,152,171,FALSE,5,Rear-wheel drive,Nissan,2010 Nissan Frontier,2010 Nissan Frontier King Cab SE AT,Automatic transmission,2010,57,99,234,22,17,Gasoline
6 Speed Manual,Buick 2.0L 4 Cylinder 220 hp 258 ft-lbs FFV,220,258,FALSE,6,Front-wheel drive,Buick,2011 Buick Regal,2011 Buick Regal CXL Turbo MT,Manual transmission,2011,64,223,203,32,20,Gasoline
6 Speed Automatic Select Shift,Lexus 5.7L 8 Cylinder 383hp 403 ft-lbs,383,403,FALSE,6,Four-wheel drive,Lexus,2010 Lexus LX,2010 Lexus LX 570 SUV,Automatic transmission,2010,179,127,128,18,12,Gasoline
6 Speed Automatic Select Shift,Lexus 5.7L 8 Cylinder 383hp 403 ft-lbs,383,403,FALSE,6,Four-wheel drive,Lexus,2011 Lexus LX,2011 Lexus LX 570 SUV,Automatic transmission,2011,179,127,128,18,12,Gasoline
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XL,Manual transmission,2010,224,202,145,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XL AT,Automatic transmission,2010,224,202,145,24,19,Gasoline
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XL SuperCab,Manual transmission,2010,226,51,148,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XL SuperCab AT,Automatic transmission,2010,226,51,148,24,19,Gasoline
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT,Manual transmission,2010,224,202,145,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT AT,Automatic transmission,2010,224,202,145,24,19,Gasoline
5 Speed Manual,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab,Manual transmission,2010,226,51,148,27,22,Gasoline
5 Speed Automatic,Ford 2.3L 4 Cylinder 143 hp 154 ft-lbs,143,154,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab AT,Automatic transmission,2010,226,51,148,24,19,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab V6,Manual transmission,2010,226,51,148,21,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab V6 AT,Automatic transmission,2010,226,51,148,21,16,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab 4-Door,Manual transmission,2010,226,51,148,21,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab 4-Door AT,Automatic transmission,2010,226,51,148,21,16,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab 4-Door 4X4,Manual transmission,2010,19,51,183,19,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger XLT SuperCab 4-Door 4X4 AT,Automatic transmission,2010,19,51,183,18,14,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport,Manual transmission,2010,226,51,148,21,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport AT,Automatic transmission,2010,226,51,148,21,16,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport 4-Door,Manual transmission,2010,226,51,148,21,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Rear-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport 4-Door AT,Automatic transmission,2010,226,51,148,21,16,Gasoline
5 Speed Manual,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport 4-Door 4X4,Manual transmission,2010,19,51,183,19,15,Gasoline
5 Speed Automatic,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,207,238,FALSE,5,Four-wheel drive,Ford,2010 Ford Ranger,2010 Ford Ranger Sport 4-Door 4X4 AT,Automatic transmission,2010,19,51,183,18,14,Gasoline
4 Speed Automatic,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,225,286,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XL,Automatic transmission,2012,224,128,37,16,13,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XL 5.4L,Automatic transmission,2012,224,128,37,16,12,Gasoline
4 Speed Automatic,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,225,286,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XLT,Automatic transmission,2012,224,128,37,12,9,E85
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XLT 5.4L,Automatic transmission,2012,224,128,37,16,12,Gasoline
4 Speed Automatic,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,225,286,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XLT Premium,Automatic transmission,2012,224,128,37,12,9,E85
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-150 Wagon,2012 Ford E-150 Wagon XLT Premium 5.4L,Automatic transmission,2012,224,128,37,12,9,E85
4 Speed Automatic,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,225,286,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-150 Wagon,2011 Ford E-150 Wagon XL,Automatic transmission,2011,224,128,37,16,13,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-150 Wagon,2011 Ford E-150 Wagon XL 5.4L,Automatic transmission,2011,224,128,37,15,12,Gasoline
4 Speed Automatic,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,225,286,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-150 Wagon,2011 Ford E-150 Wagon XLT,Automatic transmission,2011,224,128,37,12,9,E85
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-150 Wagon,2011 Ford E-150 Wagon XLT 5.4L,Automatic transmission,2011,224,128,37,12,9,E85
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,Front-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Convenience Group,Automatic transmission,2012,214,5,49,24,17,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,Front-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Premium Group,Automatic transmission,2012,214,5,49,24,17,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,All-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Leather Group AWD,Automatic transmission,2012,214,5,49,22,16,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,All-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave AWD,Automatic transmission,2012,214,5,49,22,16,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,All-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Premium Group AWD,Automatic transmission,2012,214,5,49,22,16,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,Front-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave,Automatic transmission,2012,214,5,49,24,17,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,Front-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Leather Group,Automatic transmission,2012,214,5,49,24,17,Gasoline
6 Speed Automatic Select Shift,Buick 3.6L 6 Cylinder 288 hp 270 ft-lbs,288,270,FALSE,6,All-wheel drive,Buick,2012 Buick Enclave,2012 Buick Enclave Convenience Group AWD,Automatic transmission,2012,214,5,49,22,16,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XL,Automatic transmission,2012,224,128,62,11,9,E85
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XL V10,Automatic transmission,2012,224,128,62,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XL Extended,Automatic transmission,2012,224,124,42,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XL Extended V10,Automatic transmission,2012,224,124,42,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XLT,Automatic transmission,2012,224,128,62,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XLT V10,Automatic transmission,2012,224,128,62,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XLT Extended,Automatic transmission,2012,224,124,42,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2012 Ford E-350 Super Duty Wagon,2012 Ford E-350 Super Duty Wagon XLT Extended  V10,Automatic transmission,2012,224,124,42,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XL,Automatic transmission,2011,224,128,62,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XL V10,Automatic transmission,2011,224,128,62,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XL Extended,Automatic transmission,2011,224,124,42,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XL Extended V10,Automatic transmission,2011,224,124,42,13,10,Gasoline
4 Speed Automatic,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,255,350,FALSE,4,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XLT,Automatic transmission,2011,224,128,62,15,11,Gasoline
5 Speed Automatic,Ford 6.8L 10 cylinder 305 hp 420 ft-lbs,305,420,FALSE,5,Rear-wheel drive,Ford,2011 Ford E-350 Super Duty Wagon,2011 Ford E-350 Super Duty Wagon XLT V10,Automatic transmission,2011,224,128,62,13,10,Gasoline
